freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,NR,F,Y50-54,ITF5	18450 	18186 	17554 	16665 	15734 	14658 	13979 	14503 	15234 	16516 	17589 	18539 	18756 	18773 	18423 	18629 	18762 	19206 	19683 	20068 	20219 	20818 	21005 	21323 	22037 	22694 	22852 	22967 	23036 	22838 b	22397 
A,NR,M,Y50-54,ITF5	17556 	17419 	16849 	15954 	15211 	14256 	13417 	13983 	14886 	16084 	17410 	18556 	18729 	18738 	18543 	18469 	18596 	18959 	19116 	19405 	19611 	19793 	20024 	20865 	21516 	22072 	22317 	22316 	22238 	21984 b	21738 
A,NR,T,Y50-54,ITF5	36006 	35605 	34403 	32619 	30945 	28914 	27396 	28486 	30120 	32600 	34999 	37095 	37485 	37511 	36966 	37098 	37358 	38165 	38799 	39473 	39830 	40611 	41029 	42188 	43553 	44766 	45169 	45283 	45274 	44822 b	44135 
A,NR,F,Y50-54,ITF6	56359 	55975 	54598 	53469 	52034 	50176 	48313 	50625 	53295 	56483 	59473 	62532 	63011 	62300 	61954 	62423 	62671 	63266 	65113 	66042 	67278 	68650 	69788 	71126 	74028 	75836 	76262 	76572 	76757 	75478 b	74877 
A,NR,M,Y50-54,ITF6	54609 	54506 	53982 	52971 	52121 	50507 	48781 	50959 	53944 	57116 	60058 	63016 	63392 	62531 	62004 	62077 	62231 	62753 	64271 	64544 	65131 	65841 	66574 	67341 	69946 	71273 	71555 	71775 	71864 	70564 b	69597 
A,NR,T,Y50-54,ITF6	110968 	110481 	108580 	106440 	104155 	100683 	97094 	101584 	107239 	113599 	119531 	125548 	126403 	124831 	123958 	124500 	124902 	126019 	129384 	130586 	132409 	134491 	136362 	138467 	143974 	147109 	147817 	148347 	148621 	146042 b	144474 
A,NR,F,Y50-54,ITG1	141628 	143224 	142863 	141814 	138044 	134729 	131107 	135974 	143149 	151037 	157013 	162078 	161757 	159886 	157408 	158499 	159447 	161946 	165305 	168843 	170734 	174866 	177505 	180836 	187868 	192417 	193368 	195348 	196134 	193478 b	192653 
A,NR,M,Y50-54,ITG1	130864 	132474 	132629 	131884 	128942 	126135 	123557 	128376 	135557 	143202 	148677 	152993 	152793 	150371 	147477 	148127 	149275 	151117 	153774 	156572 	158432 	161155 	163538 	166640 	173876 	179175 	180758 	183115 	184652 	182001 b	181321 
A,NR,T,Y50-54,ITG1	272492 	275698 	275492 	273698 	266986 	260864 	254664 	264350 	278706 	294239 	305690 	315071 	314550 	310257 	304885 	306626 	308722 	313063 	319079 	325415 	329166 	336021 	341043 	347476 	361744 	371592 	374126 	378463 	380786 	375479 b	373974 
A,NR,F,Y50-54,ITG2	45597 	47720 	48363 	49526 	49926 	49611 	48735 	49246 	49857 	51326 	52424 	53783 	54939 	55646 	55669 	56694 	57064 	57868 	59022 	60065 	60585 	61542 	62332 	63316 	65915 	67712 	68978 	69634 	70005 	68850 b	68199 
A,NR,M,Y50-54,ITG2	43242 	45353 	46136 	47371 	47663 	47386 	47030 	48181 	49260 	51220 	52477 	53818 	54509 	54995 	55063 	55976 	56296 	56938 	57634 	58392 	58660 	59627 	59976 	61005 	63758 	65612 	66840 	67895 	68656 	67660 b	67179 
A,NR,T,Y50-54,ITG2	88839 	93073 	94499 	96897 	97589 	96997 	95765 	97427 	99117 	102546 	104901 	107601 	109448 	110641 	110732 	112670 	113360 	114806 	116656 	118457 	119245 	121169 	122308 	124321 	129673 	133324 	135818 	137529 	138661 	136510 b	135378 
A,NR,F,Y50-54,ITH1	12702 	13030 	13684 	14220 	14537 	14484 	13949 	13966 	13741 	13621 	13531 	13996 	13482 	13416 	13391 	13515 	13633 	14018 	14626 	15119 	15761 	16457 	17249 	17939 	18821 	19613 	20299 	20816 	21259 	21578 b	21662 
A,NR,M,Y50-54,ITH1	12393 	12841 	13650 	14182 	14433 	14301 	13818 	13698 	13457 	13292 	13268 	13698 	13388 	13419 	13351 	13562 	13765 	14195 	14664 	15298 	16150 	16997 	17730 	18540 	19474 	20267 	21007 	21671 	21947 	22190 b	22236 
A,NR,T,Y50-54,ITH1	25095 	25871 	27334 	28402 	28970 	28785 	27767 	27664 	27198 	26913 	26799 	27694 	26870 	26835 	26742 	27077 	27398 	28213 	29290 	30417 	31911 	33454 	34979 	36479 	38295 	39880 	41306 	42487 	43206 	43768 b	43898 
A,NR,F,Y50-54,ITH2	13507 	13907 	14217 	14409 	14522 	14390 	13714 	14184 	14534 	14769 	15035 	15971 	15651 	15527 	15654 	15977 	16014 	16292 	16718 	17180 	17742 	18308 	18841 	19375 	20147 	20829 	21374 	21715 	22148 	22299 b	22117 
A,NR,M,Y50-54,ITH2	13120 	13528 	13948 	14281 	14322 	14166 	13710 	14373 	14812 	15335 	15838 	16761 	16494 	16510 	16423 	16540 	16594 	16907 	17244 	17453 	17930 	18356 	18713 	19158 	20029 	20682 	21341 	21734 	22074 	22304 b	22205 
A,NR,T,Y50-54,ITH2	26627 	27435 	28165 	28690 	28844 	28556 	27424 	28557 	29346 	30104 	30873 	32732 	32145 	32037 	32077 	32517 	32608 	33199 	33962 	34633 	35672 	36664 	37554 	38533 	40176 	41511 	42715 	43449 	44222 	44603 b	44322 
A,NR,F,Y50-54,ITH3	141594 	144744 	146936 	147609 	146686 	144535 	137714 	143488 	146439 	149207 	151649 	158519 	153231 	151500 	150263 	150308 	150154 	152916 	156077 	160234 	165037 	169738 	174256 	180034 	188497 	195471 	201480 	205257 	208219 	208323 b	207147 
A,NR,M,Y50-54,ITH3	139035 	142156 	145358 	146007 	145037 	142572 	135909 	141979 	145312 	148335 	151078 	157971 	153010 	151838 	150539 	150858 	151432 	153903 	157211 	160513 	164925 	168934 	173500 	180012 	188214 	194885 	201175 	205467 	208771 	209414 b	208902 
A,NR,T,Y50-54,ITH3	280629 	286900 	292294 	293616 	291723 	287107 	273623 	285467 	291751 	297542 	302727 	316490 	306241 	303338 	300802 	301166 	301586 	306819 	313288 	320747 	329962 	338672 	347756 	360046 	376711 	390356 	402655 	410724 	416990 	417737 b	416049 
A,NR,F,Y50-54,ITH4	41089 	42522 	43532 	43974 	43358 	42635 	40217 	41353 	42030 	42890 	43051 	44767 	42915 	41694 	40880 	40456 	39747 	39793 	40115 	40743 	41556 	42352 	43223 	44516 	46376 	48005 	49408 	50524 	51332 	51039 b	50589 
A,NR,M,Y50-54,ITH4	40773 	42510 	43952 	43992 	43444 	42466 	39975 	41086 	41897 	42613 	42775 	44160 	42014 	40728 	39445 	39064 	38799 	39262 	39743 	40204 	41155 	42077 	43056 	44597 	46689 	48344 	49624 	50313 	50857 	50950 b	50426 
A,NR,T,Y50-54,ITH4	81862 	85032 	87484 	87966 	86802 	85101 	80192 	82439 	83927 	85503 	85826 	88927 	84929 	82422 	80325 	79520 	78546 	79055 	79858 	80947 	82711 	84429 	86279 	89113 	93065 	96349 	99032 	100837 	102189 	101989 b	101015 
A,NR,F,Y50-54,ITH5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	144973 	139955 	136648 	133827 	133750 	133479 	136007 	139393 	143770 	148053 	152935 	156443 	160985 	167411 	172893 	176720 	180050 	182305 	184195 b	184317 
A,NR,M,Y50-54,ITH5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	140674 	135915 	132034 	128932 	128678 	129425 	132773 	136692 	140248 	143937 	147338 	150203 	155081 	162228 	168381 	172817 	177080 	180041 	182738 b	182856 
A,NR,T,Y50-54,ITH5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	285647 	275870 	268682 	262759 	262428 	262904 	268780 	276085 	284018 	291990 	300273 	306646 	316066 	329639 	341274 	349537 	357130 	362346 	366933 b	367173 
A,NR,F,Y50-54,ITI1	124337 	126674 	127045 	124865 	121217 	117368 	112876 	117326 	122162 	126186 	128938 	130471 	125462 	121094 	117393 	116646 	116726 	118184 	120782 	124192 	126531 	129406 	132335 	135947 	141631 	146935 	150762 	153641 	156137 	155850 b	155169 
A,NR,M,Y50-54,ITI1	118423 	120424 	120656 	118540 	114671 	111110 	107061 	111731 	116383 	120624 	123408 	125302 	120715 	116968 	113182 	112073 	112030 	113484 	115522 	117639 	120339 	123063 	125346 	129235 	135959 	140708 	144450 	147994 	149984 	149895 b	149375 
A,NR,T,Y50-54,ITI1	242760 	247098 	247701 	243405 	235888 	228478 	219937 	229057 	238545 	246810 	252346 	255773 	246177 	238062 	230575 	228719 	228756 	231668 	236304 	241831 	246870 	252469 	257681 	265182 	277590 	287643 	295212 	301635 	306121 	305745 b	304544 
A,NR,F,Y50-54,ITI2	27903 	28212 	28080 	27420 	26808 	26145 	25060 	25707 	26487 	27425 	28162 	29097 	28944 	28351 	27850 	27755 	27751 	27847 	28555 	29248 	29972 	30934 	31493 	32241 	33885 	34765 	35407 	35783 	36099 	35847 b	35602 
A,NR,M,Y50-54,ITI2	26597 	26995 	27162 	26761 	26074 	25325 	24273 	24750 	25622 	26515 	27492 	28442 	28287 	27751 	27011 	26731 	26759 	27093 	27571 	27974 	28535 	29113 	29692 	30275 	31574 	32617 	33281 	33602 	33791 	33823 b	33553 
A,NR,T,Y50-54,ITI2	54500 	55207 	55242 	54181 	52882 	51470 	49333 	50457 	52109 	53940 	55654 	57539 	57231 	56102 	54861 	54486 	54510 	54940 	56126 	57222 	58507 	60047 	61185 	62516 	65459 	67382 	68688 	69385 	69890 	69670 b	69155 
A,NR,F,Y50-54,ITI3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48749 	48491 	48278 	48360 	48519 	48570 	49053 	50189 	51476 	52842 	54023 	54653 	55737 	57528 	59071 	60000 	60843 	61778 	61569 b	61442 
A,NR,M,Y50-54,ITI3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47655 	47614 	47654 	47405 	47415 	47263 	47913 	48604 	49823 	50783 	51875 	52772 	54174 	56034 	58100 	59246 	59851 	60031 	60199 b	59565 
A,NR,T,Y50-54,ITI3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96404 	96105 	95932 	95765 	95934 	95833 	96966 	98793 	101299 	103625 	105898 	107425 	109911 	113562 	117171 	119246 	120694 	121809 	121768 b	121007 
A,NR,F,Y50-54,ITI4	174529 	178052 	179321 	177683 	174725 	168730 	161543 	166108 	171238 	175856 	180385 	185070 	181520 	178108 	174976 	176225 	177584 	180650 	185209 	189857 	193912 	198868 	204224 	210289 	229401 	238758 	245134 	250213 	254531 	252162 b	251163 
A,NR,M,Y50-54,ITI4	162869 	165419 	167382 	165914 	162113 	156544 	149930 	153673 	159032 	163719 	167675 	172046 	168593 	165150 	161987 	162781 	164469 	167898 	172029 	176110 	179757 	183788 	188302 	194528 	214009 	223300 	229645 	235227 	238672 	236276 b	234945 
A,NR,T,Y50-54,ITI4	337398 	343471 	346703 	343597 	336838 	325274 	311473 	319781 	330270 	339575 	348060 	357116 	350113 	343258 	336963 	339006 	342053 	348548 	357238 	365967 	373669 	382656 	392526 	404817 	443410 	462058 	474779 	485440 	493203 	488438 b	486108 
A,NR,F,Y50-54,LI00	672 	708 	784 	838 	885 	972 	990 	1035 	1062 	1094 	1087 	1130 	1140 	1186 	1179 	1222 	1251 	1295 	1297 	1355 	1393 	1451 	1488 	1498 	1547 	1603 	1602 	1609 	1638 	1679 	1646 
A,NR,M,Y50-54,LI00	681 	773 	804 	849 	968 	1025 	1042 	1094 	1125 	1140 	1178 	1221 	1240 	1219 	1249 	1237 	1267 	1277 	1348 	1349 	1369 	1403 	1427 	1465 	1503 	1543 	1556 	1569 	1558 	1581 	1599 
A,NR,T,Y50-54,LI00	1353 	1481 	1588 	1687 	1853 	1997 	2032 	2129 	2187 	2234 	2265 	2351 	2380 	2405 	2428 	2459 	2518 	2572 	2645 	2704 	2762 	2854 	2915 	2963 	3050 	3146 	3158 	3178 	3196 	3260 	3245 
A,NR,F,Y50-54,LT01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28264 	29167 	29956 	29883 	29330 	29295 	29415 	29834 	31149 	32519 	32614 	33383 	33489 	32892 	31860 	30512 	29146 	28234 	27591 	27509 
A,NR,M,Y50-54,LT01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22246 	23337 	24177 	24344 	24145 	24260 	24401 	24834 	25961 	26939 	26414 	27175 	27253 	26965 	26448 	25456 	24669 	24250 	24083 	24569 
A,NR,T,Y50-54,LT01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50510 	52504 	54133 	54227 	53475 	53555 	53816 	54668 	57110 	59458 	59028 	60558 	60742 	59857 	58308 	55968 	53815 	52484 	51674 	52078 
A,NR,F,Y50-54,LT02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76813 	78765 	80523 	80041 	79053 	79015 	79592 	81491 	85514 	88832 	91203 	93412 	93806 	92038 	89836 	86705 	83183 	80809 	79341 	77786 
A,NR,M,Y50-54,LT02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66046 	68138 	69923 	70198 	69526 	69582 	69823 	71610 	75206 	77910 	80910 	83305 	83974 	82635 	81046 	78521 	75591 	73292 	72180 	71444 
A,NR,T,Y50-54,LT02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	142859 	146903 	150446 	150239 	148579 	148597 	149415 	153101 	160720 	166742 	172113 	176717 	177780 	174673 	170882 	165226 	158774 	154101 	151521 	149230 
A,NR,F,Y50-54,LU00	11373 	11432 	11404 	11510 	11584 	11489 	11483 	11928 	12272 	12568 	13042 	13288 	13451 	13831 	14201 	14702 	15136 	15793 	16265 	16730 	17090 	17755 	18269 	18901 	19625 	20357 	20937 	21499 b	21988 	22237 	22505 
A,NR,M,Y50-54,LU00	11580 	11617 	11502 	11606 	11930 	11927 	12011 	12661 	13052 	13485 	14061 	14241 	14461 	14747 	14972 	15341 	15767 	16141 	16635 	17239 	17812 	18436 	19328 	19951 	20887 	21823 	22741 	23604 b	24102 	24458 	24495 
A,NR,T,Y50-54,LU00	22953 	23049 	22906 	23116 	23514 	23416 	23494 	24589 	25324 	26053 	27103 	27529 	27912 	28578 	29173 	30043 	30903 	31934 	32900 	33969 	34902 	36191 	37597 	38852 	40512 	42180 	43678 	45103 b	46090 	46695 	47000 
A,NR,F,Y50-54,LV00	93535 	93229 	98134 	94970 	89882 	84345 	78854 	74039 	72215 	73187 	76237 	78456 	79859 	80393 	79121 	78042 	78679 	78988 	79866 	81399 	81909 	82148 	82429 	81831 	80335 	78170 	74667 	71937 	69692 	68068 	67059 
A,NR,M,Y50-54,LV00	80069 	79993 	84526 	81300 	76176 	70690 	65603 	61186 	60029 	61004 	63443 	65457 	66513 	66593 	65627 	65070 	65600 	66096 	67739 	69641 	70320 	70695 	71476 	71159 	69665 	68443 	66203 	63918 	62193 	61191 	60656 
A,NR,T,Y50-54,LV00	173604 	173222 	182660 	176270 	166058 	155035 	144457 	135225 	132244 	134191 	139680 	143913 	146372 	146986 	144748 	143112 	144279 	145084 	147605 	151040 	152229 	152843 	153905 	152990 	150000 	146613 	140870 	135855 	131885 	129259 	127715 
A,NR,F,Y50-54,ME00	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20400 	20562 	20580 	20647 	20795 	21256 	21340 	21714 	21905 	22009 	21870 	21784 	21864 	21961 	21905 	21876 	21471 	21176 	20863 	20408 	20256 
A,NR,M,Y50-54,ME00	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19794 	19950 	19969 	20037 	20134 	20933 	21378 	21881 	22055 	22109 	22039 	21878 	21736 	21588 	21391 	21092 	20978 	20687 	20374 	19987 	19813 
A,NR,T,Y50-54,ME00	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40194 	40512 	40549 	40684 	40929 	42189 	42718 	43595 	43960 	44118 	43909 	43662 	43600 	43549 	43296 	42968 	42449 	41863 	41237 	40395 	40069 
A,NR,F,Y50-54,MK00	: 	: 	: 	: 	50394 	50510 	49834 	50255 	51043 	54181 	56939 	60292 	62946 	64801 	65189 	66572 	67134 	68552 	68595 	68975 	69361 	70251 	70352 	69861 	70261 	70622 	70701 	70934 	71852 	72044 	71724 
A,NR,M,Y50-54,MK00	: 	: 	: 	: 	48354 	48339 	47601 	47954 	49053 	51863 	54150 	57408 	60023 	63420 	64603 	66794 	68156 	70216 	70722 	71303 	71558 	71902 	71823 	71333 	71495 	71710 	71744 	72152 	72708 	72716 	72485 
A,NR,T,Y50-54,MK00	: 	: 	: 	: 	98748 	98849 	97435 	98209 	100096 	106044 	111089 	117700 	122969 	128221 	129792 	133366 	135290 	138768 	139317 	140278 	140919 	142153 	142175 	141194 	141756 	142332 	142445 	143086 	144560 	144760 	144209 
A,NR,F,Y50-54,MKXX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,NR,M,Y50-54,MKXX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,NR,F,Y50-54,MT00	9890 	9683 	9396 	8897 	8988 	9845 	11013 	12402 	14118 	15032 	15042 	15332 b	15241 	14877 	14545 	14468 	14391 	14481 	14705 	14998 	15200 	15398 	15261 	15154 	14827 	14560 	14203 	13879 	13612 	13568 	13518 
A,NR,T,Y50-54,MKXX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,NR,M,Y50-54,MT00	8856 	8814 	8387 	8130 	8244 	9338 	10547 	11964 	13658 	14677 	14743 	15248 b	15113 	14857 	14650 	14481 	14399 	14689 	14982 	15184 	15253 	15293 	15231 	15099 	14970 	14955 	14659 	14291 	14175 	14389 	14787 
A,NR,T,Y50-54,MT00	18746 	18497 	17783 	17027 	17232 	19183 	21560 	24366 	27776 	29709 	29785 	30580 b	30354 	29734 	29195 	28949 	28790 	29170 	29687 	30182 	30453 	30691 	30492 	30253 	29797 	29515 	28862 	28170 	27787 	27957 	28305 
A,NR,F,Y50-54,NL11	13660 	13723 	13796 	14078 	14582 	15121 	15741 	17319 	18516 	19218 	19722 	20046 	19422 	19213 	19166 	19100 	19319 	19660 	19651 	19836 	20186 	20222 	20195 	20349 	20533 	20599 	20664 	20714 	20616 	20226 	20273 
A,NR,M,Y50-54,NL11	13862 	14015 	14111 	14470 	15027 	15783 	16319 	18170 	19568 	20314 	20733 	21152 	20403 	20046 	19959 	19972 	20069 	20133 	20124 	20151 	20334 	20373 	20438 	20493 	20534 	20711 	20893 	20883 	20858 	20713 	20731 
A,NR,T,Y50-54,NL11	27522 	27738 	27907 	28548 	29609 	30904 	32060 	35489 	38084 	39532 	40455 	41198 	39825 	39259 	39125 	39072 	39388 	39793 	39775 	39987 	40520 	40595 	40633 	40842 	41067 	41310 	41557 	41597 	41474 	40939 	41004 
A,NR,F,Y50-54,NL12	14949 	15200 	15272 	15538 	16254 	17080 	17790 	19547 	20963 	21619 	21935 	22315 	21881 	21481 	21442 	21656 	21890 	22063 	22303 	22591 	22790 	23051 	23280 	23491 	23696 	23868 	23989 	23962 	23952 	24009 	24163 
A,NR,M,Y50-54,NL12	15531 	15819 	16143 	16595 	17123 	17936 	18642 	20439 	21826 	22741 	23220 	23673 	22808 	22262 	22191 	22183 	22462 	22668 	22892 	22920 	23032 	22999 	23152 	23419 	23603 	24020 	24434 	24586 	24757 	24776 	25002 
A,NR,T,Y50-54,NL12	30480 	31019 	31415 	32133 	33377 	35016 	36432 	39986 	42789 	44360 	45155 	45988 	44689 	43743 	43633 	43839 	44352 	44731 	45195 	45511 	45822 	46050 	46432 	46910 	47299 	47888 	48423 	48548 	48709 	48785 	49165 
A,NR,F,Y50-54,NL13	11857 	12067 	12078 	12388 	12817 	13322 	13710 	15074 	16177 	17010 	17427 	17904 	17359 	17123 	16971 	17247 	17494 	17842 	18057 	18238 	18332 	18520 	18842 	18882 	19045 	19235 	19338 	19213 	19263 	19177 	19265 
A,NR,M,Y50-54,NL13	12004 	12148 	12299 	12664 	13218 	13834 	14208 	15598 	16839 	17584 	18021 	18612 	18082 	17742 	17480 	17592 	17763 	18009 	18109 	18382 	18501 	18668 	18752 	18821 	19072 	19188 	19151 	19223 	19290 	19147 	19326 
A,NR,T,Y50-54,NL13	23861 	24215 	24377 	25052 	26035 	27156 	27918 	30672 	33016 	34594 	35448 	36516 	35441 	34865 	34451 	34839 	35257 	35851 	36166 	36620 	36833 	37188 	37594 	37703 	38117 	38423 	38489 	38436 	38553 	38324 	38591 
A,NR,F,Y50-54,NL21	25830 	26278 	26499 	27010 	27752 	28579 	29209 	31843 	33902 	35252 	36106 	37157 	36140 	35519 	35343 	35434 	35745 	36337 	36685 	37323 	38122 	38785 	39365 	39952 	40335 	40846 	41175 	41171 	41383 	41724 	41961 
A,NR,M,Y50-54,NL21	26408 	26995 	27337 	28103 	28949 	30065 	30631 	33340 	35493 	36931 	37702 	38467 	37559 	36922 	36665 	36832 	37254 	37530 	37868 	38325 	38789 	39310 	40089 	40774 	41305 	41912 	42476 	42660 	42703 	42984 	43458 
A,NR,T,Y50-54,NL21	52238 	53273 	53836 	55113 	56701 	58644 	59840 	65183 	69395 	72183 	73808 	75624 	73699 	72441 	72008 	72266 	72999 	73867 	74553 	75648 	76911 	78095 	79454 	80726 	81640 	82758 	83651 	83831 	84086 	84708 	85419 
A,NR,F,Y50-54,NL22	46520 	47543 	48484 	49844 	50981 	52835 	53912 	59377 	63805 	67023 	69120 	71183 	69168 	67924 	67414 	67438 	68292 	68912 	69411 	70291 	71533 	72433 	73747 	75020 	76106 	76802 	77548 	77788 	77954 	78180 	78978 
A,NR,M,Y50-54,NL22	47316 	48468 	49325 	50777 	52502 	54511 	55673 	61335 	65970 	68818 	70630 	72512 	70247 	69152 	68469 	68657 	68891 	69780 	69990 	70847 	71794 	73312 	74612 	76138 	77325 	78488 	78972 	79009 	78813 	78700 	79005 
A,NR,T,Y50-54,NL22	93836 	96011 	97809 	100621 	103483 	107346 	109585 	120712 	129775 	135841 	139750 	143695 	139415 	137076 	135883 	136095 	137183 	138692 	139401 	141138 	143327 	145745 	148359 	151158 	153431 	155290 	156520 	156797 	156767 	156880 	157983 
A,NR,F,Y50-54,NL23	3812 	3981 	4246 	4513 	4886 	5448 	5875 	6957 	7995 	8832 	9471 	10153 	10187 	10412 	10785 	11271 	11963 	12589 	13148 	13684 	14022 	14370 	14659 	15010 	15221 	15490 	15691 	15812 	15723 	15701 	15796 
A,NR,M,Y50-54,NL23	3925 	4203 	4499 	4941 	5348 	5983 	6420 	7524 	8533 	9368 	10118 	10912 	11088 	11376 	11823 	12201 	12611 	12950 	13337 	13603 	14003 	14371 	14811 	15075 	15456 	15839 	15982 	15848 	15751 	15674 	15727 
A,NR,T,Y50-54,NL23	7737 	8184 	8745 	9454 	10234 	11431 	12295 	14481 	16528 	18200 	19589 	21065 	21275 	21788 	22608 	23472 	24574 	25539 	26485 	27287 	28025 	28741 	29470 	30085 	30677 	31329 	31673 	31660 	31474 	31375 	31523 
A,NR,F,Y50-54,NL31	25141 	25899 	26404 	26962 	27972 	28992 	29324 	32776 	35601 	37351 	38354 	39891 	38812 	38127 	38040 	38246 	38493 	39076 	39789 	40358 	41314 	42171 	43120 	43787 	44555 	45321 	45747 	45897 	45971 	46397 	47069 
A,NR,M,Y50-54,NL31	25574 	26347 	26725 	27340 	28044 	29237 	29463 	32867 	35728 	37348 	38241 	39940 	38841 	38130 	37873 	38005 	38091 	38739 	39154 	40096 	40896 	41871 	42801 	43779 	44533 	45405 	45868 	46139 	46313 	46241 	46827 
A,NR,T,Y50-54,NL31	50715 	52246 	53129 	54302 	56016 	58229 	58787 	65643 	71329 	74699 	76595 	79831 	77653 	76257 	75913 	76251 	76584 	77815 	78943 	80454 	82210 	84042 	85921 	87566 	89088 	90726 	91615 	92036 	92284 	92638 	93896 
A,NR,F,Y50-54,NL32	60231 	61902 	62984 	64678 	66870 	69476 	69969 	78023 	84813 	88687 	91116 	94625 	91252 	88816 	87755 	87311 	87534 	88505 	89564 	90914 	92892 	94935 	96748 	98415 	100368 	102270 	102882 	103449 	103486 	103699 	104053 
A,NR,M,Y50-54,NL32	62224 	64109 	65375 	66889 	69254 	71695 	72182 	80306 	86981 	90696 	92773 	96276 	92489 	89840 	88681 	88679 	88522 	89530 	90279 	91874 	93593 	95756 	98077 	100207 	102329 	104351 	105337 	105415 	105194 	104943 	105004 
A,NR,T,Y50-54,NL32	122455 	126011 	128359 	131567 	136124 	141171 	142151 	158329 	171794 	179383 	183889 	190901 	183741 	178656 	176436 	175990 	176056 	178035 	179843 	182788 	186485 	190691 	194825 	198622 	202697 	206621 	208219 	208864 	208680 	208642 	209057 
A,NR,F,Y50-54,NL33	82006 	83861 	84943 	86225 	88019 	90561 	90062 	101174 	110184 	115918 	118923 	124296 	118154 	115433 	114144 	114693 	115696 	117117 	117964 	119652 	121661 	123418 	125553 	127807 	129966 	131681 	132771 	132499 	132178 	131728 	132411 
A,NR,M,Y50-54,NL33	83880 	86155 	87562 	89112 	91085 	93996 	93486 	105141 	113734 	119310 	122386 	127692 	120716 	117508 	115517 	114981 	115165 	116473 	117430 	119213 	121300 	123344 	124805 	126099 	128189 	130323 	131654 	132694 	132880 	132339 	133289 
A,NR,T,Y50-54,NL33	165886 	170016 	172505 	175337 	179104 	184557 	183548 	206315 	223918 	235228 	241309 	251988 	238870 	232941 	229661 	229674 	230861 	233590 	235394 	238865 	242961 	246762 	250358 	253906 	258155 	262004 	264425 	265193 	265058 	264067 	265700 
A,NR,F,Y50-54,NL34	9032 	9232 	9348 	9592 	10019 	10516 	10945 	12075 	13093 	13657 	13884 	14274 	13860 	13416 	13305 	13441 	13456 	13611 	13750 	13786 	13768 	13729 	13797 	13826 	14060 	14176 	14289 	14272 	14403 	14453 	14607 
A,NR,M,Y50-54,NL34	9271 	9555 	9728 	10101 	10528 	10992 	11485 	12636 	13523 	14021 	14287 	14487 	13942 	13579 	13514 	13475 	13578 	13657 	13629 	13577 	13628 	13601 	13656 	13688 	13924 	14043 	14218 	14329 	14547 	14426 	14475 
A,NR,T,Y50-54,NL34	18303 	18787 	19076 	19693 	20547 	21508 	22430 	24711 	26616 	27678 	28171 	28761 	27802 	26995 	26819 	26916 	27034 	27268 	27379 	27363 	27396 	27330 	27453 	27514 	27984 	28219 	28507 	28601 	28950 	28879 	29082 
A,NR,F,Y50-54,NL41	59398 	60807 	61739 	62725 	64399 	66447 	68534 	73607 	78622 	81960 	84680 	86599 	85433 	84177 	83104 	82700 	82746 	83433 	84336 	85879 	87436 	88914 	91064 	92605 	94064 	95514 	96382 	96458 	95976 	95890 	96174 
A,NR,M,Y50-54,NL41	62141 	63723 	64746 	66565 	68676 	70911 	73292 	78514 	83372 	86990 	89684 	91148 	89608 	88020 	86614 	85532 	85523 	86116 	86814 	87893 	89837 	91615 	93138 	94722 	96150 	97213 	98465 	98344 	98005 	97747 	97872 
A,NR,T,Y50-54,NL41	121539 	124530 	126485 	129290 	133075 	137358 	141826 	152121 	161994 	168950 	174364 	177747 	175041 	172197 	169718 	168232 	168269 	169549 	171150 	173772 	177273 	180529 	184202 	187327 	190214 	192727 	194847 	194802 	193981 	193637 	194046 
