freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,NR,F,TOTAL,AT33	318816 	321350 	325329 	328948 	331687 	333603 	335443 	337684 	339256 	340916 	342457 	344480 	346313 	347836 	349992 	352528 	355223 	356517 	357689 	358975 	360160 	361611 	363430 	365217 	368128 	370936 	375090 	378448 	380734 	382570 	384035 
A,NR,M,TOTAL,AT33	299643 	302764 	307142 	311008 	314171 	316272 	317926 	320010 	321608 	323151 	325002 	327012 	329387 	331621 	333647 	336426 	339030 	340736 	341899 	343527 	344502 	345906 	348151 	350671 	353910 	357890 	364049 	367705 	370406 	372135 	373599 
A,NR,T,TOTAL,AT33	618459 	624114 	632471 	639956 	645858 	649875 	653369 	657694 	660864 	664067 	667459 	671492 	675700 	679457 	683639 	688954 	694253 	697253 	699588 	702502 	704662 	707517 	711581 	715888 	722038 	728826 	739139 	746153 	751140 	754705 	757634 
A,NR,F,TOTAL,AT34	164982 	167160 	169557 	171028 	171822 	172655 	173435 	174136 	174884 	175625 	176597 	177401 	178569 	179616 	180931 	182485 	183761 	184493 	185433 	186307 	186974 	187450 	188427 	189079 	190343 	191814 	193822 	195921 	197436 	198542 	200011 
A,NR,M,TOTAL,AT34	158881 	162150 	164986 	166710 	167699 	168753 	169090 	169613 	170079 	170917 	171769 	172728 	174005 	174989 	176137 	177569 	178869 	179776 	180145 	180749 	181392 	181850 	182499 	183524 	184939 	186778 	190325 	192831 	194305 	195755 	197128 
A,NR,T,TOTAL,AT34	323863 	329310 	334543 	337738 	339521 	341408 	342525 	343749 	344963 	346542 	348366 	350129 	352574 	354605 	357068 	360054 	362630 	364269 	365578 	367056 	368366 	369300 	370926 	372603 	375282 	378592 	384147 	388752 	391741 	394297 	397139 
A,NR,F,TOTAL,BE10	510558 	507530 	502540 	501042 	499724 	500008 	497984 	499006 	499494 	499503 	501466 	503340 	509661 	515349 	519565 	523163 	529120 	534427 	542528 	552282 	562751 	582295 b	589404 b	596155 	600073 b	605416 	611496 	611616 	614177 	618282 	621873 
A,NR,M,TOTAL,BE10	453827 	452794 	448677 	449297 	449346 	451572 	450138 	451591 	453681 	454957 	457852 	461065 	468723 	476692 	480334 	483586 	489684 	496788 	505963 	516250 	526787 	554483 b	561913 b	569053 	572678 b	578685 	589789 	587479 	591315 	597008 	601491 
A,NR,T,TOTAL,BE10	964385 	960324 	951217 	950339 	949070 	951580 	948122 	950597 	953175 	954460 	959318 	964405 	978384 	992041 	999899 	1006749 	1018804 	1031215 	1048491 	1068532 	1089538 	1136778 b	1151317 b	1165208 	1172751 b	1184101 	1201285 	1199095 	1205492 	1215290 	1223364 
A,NR,F,TOTAL,BE21	810015 	813481 	816398 	820451 	823010 	825260 	826878 	829098 	830576 	832039 	833633 	834545 	837659 	841555 	845264 	849242 	854683 	860552 	867651 	874832 	881873 	894659 b	901723 b	907233 	911543 b	916658 	921759 	926733 	931849 	936955 	942890 
A,NR,M,TOTAL,BE21	787295 	791085 	794297 	799162 	802059 	803450 	804365 	806542 	807281 	808927 	810339 	811107 	814791 	819564 	823548 	827616 	833810 	840018 	848056 	856342 	862989 	878608 b	885767 b	891372 	895091 b	900375 	907168 	912130 	917674 	923515 	930205 
A,NR,T,TOTAL,BE21	1597310 	1604566 	1610695 	1619613 	1625069 	1628710 	1631243 	1635640 	1637857 	1640966 	1643972 	1645652 	1652450 	1661119 	1668812 	1676858 	1688493 	1700570 	1715707 	1731174 	1744862 	1773267 b	1787490 b	1798605 	1806634 b	1817033 	1828927 	1838863 	1849523 	1860470 	1873095 
A,NR,F,TOTAL,BE22	370933 	373652 	376465 	379608 	382394 	384824 	386935 	389439 	391644 	393517 	395599 	397574 	399468 	401656 	403433 	405566 	408134 	411130 	414428 	417746 	420639 	424405 b	426757 b	428628 	430222 b	432143 	434332 	435961 	437528 	439303 	441541 
A,NR,M,TOTAL,BE22	374101 	376430 	379128 	381957 	384439 	386789 	388367 	390530 	392283 	393974 	395579 	397211 	399115 	400872 	402353 	404376 	406524 	409142 	412262 	415414 	417866 	422446 b	424801 b	426585 	427622 b	429237 	432638 	433703 	435211 	436539 	439061 
A,NR,T,TOTAL,BE22	745034 	750082 	755593 	761565 	766833 	771613 	775302 	779969 	783927 	787491 	791178 	794785 	798583 	802528 	805786 	809942 	814658 	820272 	826690 	833160 	838505 	846851 b	851558 b	855213 	857844 b	861380 	866970 	869664 	872739 	875842 	880602 
A,NR,F,TOTAL,BE23	676231 	678164 	680124 	682243 	683498 	684753 	686498 	688276 	689699 	690798 	691903 	692963 	694568 	696187 	697924 	701033 	705654 	710088 	714964 	720858 	726956 	734817 b	739346 b	742282 	746241 b	749908 	754237 	758643 	762422 	767064 	772032 
A,NR,M,TOTAL,BE23	655377 	657530 	659932 	662020 	663285 	664629 	665279 	666461 	667877 	668904 	669720 	670709 	672084 	673949 	675796 	679039 	683796 	688165 	693520 	699557 	705370 	714111 b	718082 b	721332 	724885 b	729141 	734847 	739840 	743810 	749219 	754454 
A,NR,T,TOTAL,BE23	1331608 	1335694 	1340056 	1344263 	1346783 	1349382 	1351777 	1354737 	1357576 	1359702 	1361623 	1363672 	1366652 	1370136 	1373720 	1380072 	1389450 	1398253 	1408484 	1420415 	1432326 	1448928 b	1457428 b	1463614 	1471126 b	1479049 	1489084 	1498483 	1506232 	1516283 	1526486 
A,NR,F,TOTAL,BE24	489422 	493318 	496517 	499765 	503081 	506593 	508852 	511583 	513564 	515559 	517267 	519462 	521745 	524422 	526559 	529579 	532982 	537079 	540913 	545264 	549209 	554984 b	558953 b	562428 	565326 b	568478 	572406 	576386 	580092 	584287 	588828 
A,NR,M,TOTAL,BE24	473861 	477667 	480439 	483178 	486171 	488673 	490334 	493109 	494318 	496029 	497437 	498941 	501076 	503417 	505345 	508207 	511151 	515388 	519319 	523574 	527715 	533708 b	537331 b	540479 	543082 b	546112 	550194 	554258 	558454 	562356 	567642 
A,NR,T,TOTAL,BE24	963283 	970985 	976956 	982943 	989252 	995266 	999186 	1004692 	1007882 	1011588 	1014704 	1018403 	1022821 	1027839 	1031904 	1037786 	1044133 	1052467 	1060232 	1068838 	1076924 	1088692 b	1096284 b	1102907 	1108408 b	1114590 	1122600 	1130644 	1138546 	1146643 	1156470 
A,NR,F,TOTAL,BE25	558619 	560611 	563127 	565535 	567007 	568053 	569066 	569713 	570259 	571374 	572339 	573068 	574275 	575175 	576204 	577916 	579651 	581528 	583688 	586008 	587972 	591597 b	593568 b	594537 	595368 b	596843 	597928 	599630 	601427 	603490 	605999 
A,NR,M,TOTAL,BE25	543882 	545918 	548430 	550709 	552078 	553082 	553783 	554073 	554881 	555717 	556435 	556972 	558000 	558756 	559598 	560587 	562215 	564350 	566799 	569282 	571394 	576405 b	579227 b	581366 	582567 b	584114 	586490 	588777 	590827 	593505 	596353 
A,NR,T,TOTAL,BE25	1102501 	1106529 	1111557 	1116244 	1119085 	1121135 	1122849 	1123786 	1125140 	1127091 	1128774 	1130040 	1132275 	1133931 	1135802 	1138503 	1141866 	1145878 	1150487 	1155290 	1159366 	1168002 b	1172795 b	1175903 	1177935 b	1180957 	1184418 	1188407 	1192254 	1196995 	1202352 
